Sequential Duration,Parallel Duration,Speedup
20565986,3652333,5.630918
20782108,4067769,5.108970
20806099,3716770,5.597898
20490860,3642932,5.624826
20636838,3632384,5.681348
20449212,3681921,5.553952
20501494,3633300,5.642665
20529117,3678492,5.580851
20435858,3608826,5.662744
20447584,3658879,5.588483
20582605,3654709,5.631804
20504057,3731174,5.495337
20538209,3743313,5.486640
20517687,3707612,5.533936
20463638,3657027,5.595703
20471333,3694538,5.540972
20431329,3687028,5.541409
20494869,3684371,5.562651
20462516,3660027,5.590810
20428123,3661936,5.578504
20424008,3644745,5.603686
20458056,3675082,5.566694
20431962,3661332,5.580472
20438922,3741074,5.463384
20417784,3694169,5.527030
20467065,3641375,5.620697
20456750,3743350,5.464824
20468351,3686304,5.552540
20417645,3639495,5.610021
20476319,3673370,5.574260
20526109,3714694,5.525653
20504029,3652562,5.613602
20586382,4005451,5.139592
20467246,3683924,5.555827
20418939,3694970,5.526145
20409374,3604896,5.661571
20450535,3688493,5.544415
20466974,3684799,5.554434
20444778,3625031,5.639891
20437577,3594978,5.685035
20451365,3622830,5.645135
20420684,3635384,5.617201
20428016,3632995,5.622913
20436366,3643648,5.608765
20475996,3721742,5.501724
20466779,3613737,5.663605
21226667,4201871,5.051718
21372412,3819066,5.596241
20568156,3828103,5.372937
21002959,4183911,5.019934
